Bilateral trade at 4-digit,Exporters,Value imported in 2023 (USD thousand),Trade balance 2023 (USD thousand),Share in Brazil's imports (%),"Growth in imported value between 2019-2023 (%, p.a.)","Growth in imported value between 2022-2023 (%, p.a.)",Ranking of partner countries in world exports,Share of partner countries in world exports (%),"Total exports growth in value of partner countries between 2019-2023 (%, p.a.)",Average distance between partner countries and all their importing markets (km),Concentration of all importing countries of partner countries,Average tariff (estimated) applied by Brazil (%)

,World,"2,362,928","12,612,184",100,7,-28,,100,13,,,
,Argentina,"1,013,300","-1,002,808",42.9,-3,-49,9,4.6,0,"10,900",0.08,0
,Paraguay,"634,299","-536,561",26.8,18,-26,22,0.8,21,"3,850",0.32,0
,Uruguay,"396,867","-389,943",16.8,37,121,28,0.6,18,"5,359",0.14,0
,Russian Federation,"234,640","-234,588",9.9,79,137,4,7.2,18,"3,792",0.14,6.4
,Canada,"31,160","-29,449",1.3,-11,139,6,6.9,14,"7,534",0.06,6.4
,United States of America,"30,868","32,907",1.3,-24,-78,1,14.3,12,"6,494",0.14,6.4
,Italy,"11,804","47,557",0.5,16,29,25,0.7,14,"1,424",0.1,6.4
,Chile,"3,040","35,102",0.1,166,705,53,0.05,1,"9,291",0.24,0
,Brazil,"1,991","-1,988",0.1,,,2,9.2,23,"13,158",0.09,
,Peru,"1,619","54,318",0.1,-18,-14,50,0.08,-9,"8,113",0.17,0
,Viet Nam,"1,105","1,197,011",0,19,"1,241",12,2.4,17,"4,077",0.18,6.4
,Thailand,517,"36,778",0,17,69,10,3.2,5,"6,948",0.06,6.4
,Pakistan,456,"1,469",0,25,52,15,2,9,"4,808",0.04,6.4
,"Bolivia, Plurinational State of",423,"3,739",0,-39,-37,60,0.04,-15,"8,625",0.18,0
,Portugal,288,"62,623",0,74,-69,46,0.1,22,"1,494",0.39,6.4
,Spain,140,"483,648",0,10,39,37,0.3,-1,"1,702",0.1,6.4
,South Africa,140,"22,623",0,,36,21,0.9,41,"7,133",0.08,6.4
,India,137,670,0,-20,488,5,6.9,15,"5,251",0.04,6.3
,Australia,83,4,0,,-23,3,7.9,48,"7,914",0.12,6.4
,Lebanon,20,"4,935",0,-10,-11,77,0,16,"4,302",0.68,6.4
,Cambodia,15,-15,0,,448,18,1.2,34,"3,422",,6.4
,France,5,738,0,-80,-97,8,5.1,7,"2,555",0.09,6.4
,China,4,"3,646,219",0,-49,-98,26,0.6,-1,"5,509",0.06,6.4
,Germany,3,354,0,-4,,14,2,14,"1,830",0.11,6.4
,Estonia,3,-3,0,,,45,0.1,4,"3,483",0.1,6.4
,Japan,,"1,474,091",,,,57,0.04,4,"6,060",0.13,6.4
,"Korea, Republic of",,"865,833",,,,63,0.02,4,"8,052",0.12,6.4
,"Iran, Islamic Republic of",,"829,004",,,,89,0,16,"6,484",0.2,6.4
,"Taipei, Chinese",,"612,011",,,,52,0.05,8,"8,057",0.08,6.4
,Mexico,,"548,109",,,,36,0.3,9,"5,109",,5.1
,Colombia,,"501,220",,,,93,0,-7,"2,037",0.2,0
,Algeria,,"458,448",,,,124,0,112,"2,490",0.74,6.4
,Saudi Arabia,,"453,105",,,,102,0,,"2,560",0.66,6.4
,Egypt,,"402,214",,,,75,0,33,"1,765",0.21,6.4
,Indonesia,,"333,658",,,,64,0.02,102,"2,575",0.9,6.4
,Morocco,,"294,455",,,,128,0,-4,969,0.82,6.4
,Dominican Republic,,"260,817",,,,90,0,-20,"2,408",0.42,6.4
,Malaysia,,"245,483",,,,61,0.03,40,"1,067",0.91,6.4
,"Venezuela, Bolivarian Republic of",,"241,997",,,,150,0,-11,"5,716",0.88,0
,Costa Rica,,"205,150",,,,80,0,24,581,0.31,6.4
,Guatemala,,"162,188",,,,76,0,79,"4,214",0.33,6.4
,Senegal,,"117,320",,,,62,0.03,2,"1,084",0.87,6.5
,Netherlands,,"93,307",,,,33,0.4,0,487,0.22,6.4
,Bangladesh,,"90,984",,,,82,0,6,"9,689",0.2,6.4
,Ecuador,,"85,201",,,,84,0,-25,"3,613",0.26,0
,Jordan,,"83,581",,,,108,0,-6,"2,161",0.16,6.4
,El Salvador,,"82,661",,,,78,0,39,283,0.46,6.4
,Nicaragua,,"67,324",,,,99,0,10,359,0.44,6.4
,Philippines,,"66,896",,,,86,0,34,"2,515",0.75,6.4
,Ireland,,"64,009",,,,58,0.04,18,559,0.72,6.4
,Panama,,"53,246",,,,118,0,5,"1,442",0.38,4.7
,Israel,,"38,197",,,,114,0,-18,"5,787",0.33,0
,Tunisia,,"36,654",,,,166,0,-52,"7,550",1,6.4
,Gambia,,"36,504",,,,,,,,,6.5
,Cuba,,"36,392",,,,,,,,,2.8
,Nigeria,,"35,048",,,,101,0,167,"3,108",0.24,6.5
,Iraq,,"34,432",,,,121,0,2,"2,853",0.32,6.7
,United Arab Emirates,,"33,893",,,,51,0.07,12,"5,227",0.32,6.4
,Yemen,,"29,295",,,,138,0,,351,1,6.5
,Mauritania,,"26,675",,,,,,,,,6.5
,Sudan,,"23,710",,,,103,0,-46,,0.49,
,Oman,,"22,440",,,,72,0.01,,"1,971",0.96,6.4
,United Kingdom,,"20,271",,,,30,0.5,5,"1,006",0.21,6.4
,Kuwait,,"18,195",,,,146,0,46,"4,624",0.77,6.4
,Jamaica,,"15,527",,,,116,0,31,"2,241",0.54,6.5
,Türkiye,,"13,404",,,,20,1.1,51,"1,859",0.1,6.4
,Sierra Leone,,"10,298",,,,163,0,,"1,401",0.68,6.5
,Guyana,,"9,025",,,,44,0.1,5,"3,034",0.14,6.5
,Cabo Verde,,"8,457",,,,,,,,,6.5
,Switzerland,,"4,276",,,,85,0,-13,534,0.26,6.4
,Angola,,"4,147",,,,133,0,21,"1,076",0.49,6.4
,Honduras,,"3,952",,,,83,0,11,"1,181",0.44,6.4
,Trinidad and Tobago,,"3,787",,,,110,0,-1,600,0.14,6.5
,Suriname,,"3,485",,,,69,0.01,-4,"7,512",,5.9
,Guinea-Bissau,,"3,267",,,,,,,,,6.5
,British Virgin Islands,,"2,263",,,,,,,,,6.7
,Belgium,,"1,605",,,,34,0.4,4,552,0.2,6.4
,Curaçao,,"1,489",,,,132,0,229,,0.94,
,Barbados,,987,,,,148,0,11,228,0.47,6.5
,Djibouti,,637,,,,43,0.2,,530,0.99,6.4
,Nepal,,604,,,,131,0,-1,"3,925",0.41,6.4
,Saint Lucia,,555,,,,149,0,-13,160,1,6.5
,Bahamas,,458,,,,168,0,-44,"2,022",,6.4
,Ghana,,424,,,,95,0,136,"1,970",0.43,6.5
,Marshall Islands,,382,,,,,,,,,6.7
,"Tanzania, United Republic of",,374,,,,48,0.1,23,785,0.47,6.4
,Liberia,,315,,,,,,,,,6.7
,Antigua and Barbuda,,280,,,,,,,,,6.5
,Sao Tome and Principe,,268,,,,,,,,,6.7
,Poland,,221,,,,13,2.4,40,"2,676",0.15,6.4
,Aruba,,158,,,,159,0,163,,,6.7
,Greece,,143,,,,41,0.2,24,"1,153",0.35,6.4
,Singapore,,137,,,,55,0.05,19,921,0.9,6.4
,Mali,,132,,,,97,0,3,964,0.6,6.5
,Kenya,,127,,,,65,0.02,-13,960,0.31,6.4
,Romania,,125,,,,11,2.7,16,"3,141",0.06,6.4
