Bilateral trade at 4-digit,Exporters,Value imported in 2023 (USD thousand),Trade balance 2023 (USD thousand),Share in Brazil's imports (%),"Growth in imported value between 2019-2023 (%, p.a.)","Growth in imported value between 2022-2023 (%, p.a.)",Ranking of partner countries in world exports,Share of partner countries in world exports (%),"Total exports growth in value of partner countries between 2019-2023 (%, p.a.)",Average distance between partner countries and all their importing markets (km),Concentration of all importing countries of partner countries,Average tariff (estimated) applied by Brazil (%)

,World,"320,946","53,711,824",100,3,-23,,100,13,,,
,Paraguay,"84,184","-68,034",26.2,14,-54,6,2.4,11,"1,844",0.77,0
,China,"29,093","38,890,349",9.1,10,30,7,2.2,4,"4,969",0.05,3.9
,United States of America,"27,191","192,440",8.5,4,-7,2,22.8,10,"9,533",0.24,3.9
,Argentina,"21,275","2,010,163",6.6,4,8,14,1.2,-13,"14,702",0.28,0
,Peru,"20,289","13,126",6.3,5,1,49,0.1,8,"10,244",0.17,0
,Germany,"16,036","11,577",5,-12,-3,13,1.2,7,"2,000",0.05,3.9
,Chile,"15,232","2,670",4.7,1,30,30,0.3,9,"12,194",0.1,0
,India,"15,057","69,280",4.7,5,15,11,1.4,5,"5,533",0.06,3.9
,South Africa,"12,493","11,221",3.9,15,37,22,0.5,33,"8,007",0.09,3.9
,Uruguay,"10,793","41,977",3.4,-13,-54,25,0.4,0,"13,218",0.41,0
,Thailand,"6,580","1,386,345",2.1,6,-29,45,0.1,-3,"4,482",0.07,4
,Canada,"6,239","-5,587",1.9,26,40,3,5.6,9,"8,637",0.25,3.9
,"Bolivia, Plurinational State of","5,916","1,681",1.8,10,20,39,0.2,63,"2,856",0.36,0
,Spain,"4,530","1,470,183",1.4,-14,-21,20,0.6,5,"3,246",0.06,3.9
,"Korea, Republic of","4,133","307,752",1.3,32,68,28,0.4,6,"3,139",0.14,3.9
,France,"4,022","39,265",1.3,-4,33,9,1.8,6,"1,559",0.12,3.9
,Egypt,"3,861","62,647",1.2,7,37,29,0.3,18,"3,750",0.06,3.9
,Guatemala,"3,832","27,034",1.2,268,46,64,0.06,9,"6,146",0.13,3.9
,Japan,"3,162","344,676",1,-13,1,61,0.07,-14,"5,379",0.13,3.9
,Australia,"2,988","6,496",0.9,4,-29,4,3,49,"11,669",0.1,3.9
,Italy,"2,834","314,104",0.9,16,-28,19,0.6,7,"2,090",0.07,3.9
,Netherlands,"2,721","716,873",0.8,7,2,5,2.6,1,"2,904",0.09,3.9
,Costa Rica,"2,553","11,373",0.8,136,-18,87,0.02,15,"6,916",0.14,3.9
,Bulgaria,"2,522","-1,072",0.8,2,23,18,0.6,10,"2,990",0.1,3.9
,New Zealand,"2,466",776,0.8,19,5,47,0.1,1,"13,497",0.09,3.9
,"Taipei, Chinese","1,484","724,478",0.5,3,-55,78,0.03,-9,"5,049",0.1,3.9
,Philippines,"1,365","-1,070",0.4,-3,94,88,0.02,-29,"8,293",0.12,4
,Mexico,"1,300","841,295",0.4,-30,9,42,0.2,0,"3,649",0.42,1.8
,Nigeria,"1,117","-1,112",0.3,23,320,21,0.5,23,"8,202",0.12,3.9
,Israel,"1,031","123,683",0.3,-19,-53,48,0.1,0,"6,123",0.08,0.1
,Czech Republic,959,-950,0.3,55,-23,31,0.3,9,"1,076",0.2,3.9
,Türkiye,763,"1,033,068",0.2,1,19,24,0.4,9,"2,525",0.05,3.9
,"Hong Kong, China",476,-434,0.1,190,100,59,0.08,-3,"4,029",0.25,3.9
,Colombia,446,"49,360",0.1,,183,79,0.03,8,"4,500",0.53,0
,Poland,330,"17,339",0.1,-5,5,17,0.7,19,987,0.33,3.9
,Honduras,321,"6,538",0.1,,,124,0,0,"5,491",0.22,3.9
,Denmark,288,-286,0.1,21,4,26,0.4,3,"1,738",0.12,3.9
,Albania,142,"1,080",0,7,53,76,0.03,6,"3,967",0.2,3.9
,United Kingdom,138,"358,925",0,-12,113,52,0.1,-12,"2,522",0.08,3.9
,Norway,138,"144,896",0,6,127,122,0,-11,"3,368",0.1,3.9
,Morocco,109,"7,415",0,-43,18,65,0.06,-9,"2,959",0.15,3.9
,Viet Nam,103,"524,688",0,4,108,53,0.1,17,"5,293",0.16,4
,Ukraine,101,"15,294",0,204,-37,8,1.9,9,"1,539",0.09,3.9
,United Arab Emirates,84,"12,496",0,,,107,0,-6,"3,071",0.11,3.9
,"Tanzania, United Republic of",80,482,0,94,11,37,0.3,17,"7,659",0.34,3.9
