Bilateral trade at 4-digit,Exporters,Value imported in 2023 (USD thousand),Trade balance 2023 (USD thousand),Share in Mexico's imports (%),"Growth in imported value between 2019-2023 (%, p.a.)","Growth in imported value between 2022-2023 (%, p.a.)",Ranking of partner countries in world exports,Share of partner countries in world exports (%),"Total exports growth in value of partner countries between 2019-2023 (%, p.a.)",Average distance between partner countries and all their importing markets (km),Concentration of all importing countries of partner countries,Average tariff (estimated) applied by Mexico (%)

,World,"8,586,821","-8,131,292",100,21,-3,,100,13,,,
,United States of America,"6,661,070","-6,642,953",77.6,18,-8,1,14.3,12,"6,494",0.14,0
,Brazil,"654,980","-654,980",7.6,27,-5,2,9.2,23,"13,158",0.09,6.4
,Canada,"418,074","-418,071",4.9,13,51,6,6.9,14,"7,534",0.06,0
,Area Nes,"374,319","-80,410",4.4,,55,,,,,,
,Russian Federation,"140,252","-140,252",1.6,-50,,4,7.2,18,"3,792",0.14,7
,France,"97,675","-86,253",1.1,957,358,8,5.1,7,"2,555",0.09,7
,Australia,"76,157","-76,157",0.9,,-19,3,7.9,48,"7,914",0.12,7
,Uruguay,"60,398","-60,398",0.7,,-46,28,0.6,18,"5,359",0.14,3.6
,South Africa,"57,353","-57,353",0.7,,267,21,0.9,41,"7,133",0.08,7
,Thailand,"20,148","-20,148",0.2,,820,10,3.2,5,"6,948",0.06,7
,Argentina,"18,679","-18,679",0.2,58,-87,9,4.6,0,"10,900",0.08,5.3
,Chile,"4,491","-4,485",0.1,29,-65,53,0.05,1,"9,291",0.24,0
,Peru,"1,129","-1,129",0,,97,50,0.08,-9,"8,113",0.17,0
,Italy,748,-748,0,,37,25,0.7,14,"1,424",0.1,7
,"Bolivia, Plurinational State of",546,-546,0,,,60,0.04,-15,"8,625",0.18,4.7
,Viet Nam,436,-436,0,,,12,2.4,17,"4,077",0.18,7
,India,366,-366,0,-31,15,5,6.9,15,"5,251",0.04,7
,Hungary,1,27,0,,,19,1.1,4,695,0.22,7
,Algeria,,"47,034",,,,124,0,112,"2,490",0.74,7
,"Venezuela, Bolivarian Republic of",,"37,259",,,,150,0,-11,"5,716",0.88,6.1
,Guatemala,,"27,135",,,,76,0,79,"4,214",0.33,3.5
,Cuba,,"8,434",,,,,,,,,1.3
,Ecuador,,"7,485",,,,84,0,-25,"3,613",0.26,5.7
,El Salvador,,"2,014",,,,78,0,39,283,0.46,3.5
,Colombia,,"1,487",,,,93,0,-7,"2,037",0.2,0
,Costa Rica,,389,,,,80,0,24,581,0.31,0
,Belize,,233,,,,107,0,28,843,0.71,7.1
,Panama,,202,,,,118,0,5,"1,442",0.38,2.9
,Spain,,157,,,,37,0.3,-1,"1,702",0.1,7
,Honduras,,142,,,,83,0,11,"1,181",0.44,3.5
,Netherlands,,37,,,,33,0.4,0,487,0.22,7
,United Kingdom,,19,,,,30,0.5,5,"1,006",0.21,7
,Germany,,10,,,,14,2,14,"1,830",0.11,7
,Japan,,6,,,,57,0.04,4,"6,060",0.13,7
,Ukraine,,,,,,7,5.1,-3,"2,897",0.09,7
,Romania,,,,,,11,2.7,16,"3,141",0.06,7
,Poland,,,,,,13,2.4,40,"2,676",0.15,7
,Pakistan,,,,,,15,2,9,"4,808",0.04,7
,Bulgaria,,,,,,16,1.4,13,"3,803",0.11,7
,Kazakhstan,,,,,,17,1.3,16,"1,912",0.21,7
,Cambodia,,,,,,18,1.2,34,"3,422",,7
,Türkiye,,,,,,20,1.1,51,"1,859",0.1,7
,Paraguay,,,,,,22,0.8,21,"3,850",0.32,7
,Lithuania,,,,,,23,0.7,8,"4,657",0.08,7
,Myanmar,,,,,,24,0.7,6,"3,405",0.17,7
,China,,,,,,26,0.6,-1,"5,509",0.06,7
,Czech Republic,,,,,,27,0.6,20,393,0.57,7
,Latvia,,,,,,29,0.5,12,"4,301",0.1,7
,Slovakia,,,,,,31,0.4,24,472,0.16,7
,Austria,,,,,,32,0.4,11,645,0.26,7
,Belgium,,,,,,34,0.4,4,552,0.2,7
,Denmark,,,,,,35,0.3,13,"1,598",0.14,7
,Serbia,,,,,,38,0.3,-6,553,0.19,7
,Croatia,,,,,,39,0.2,16,543,0.42,7
,"Moldova, Republic of",,,,,,40,0.2,27,"1,012",0.41,7
,Greece,,,,,,41,0.2,24,"1,153",0.35,7
,Sweden,,,,,,42,0.2,4,"1,256",0.12,7
,Djibouti,,,,,,43,0.2,,530,0.99,7
,Guyana,,,,,,44,0.1,5,"3,034",0.14,7.1
,Estonia,,,,,,45,0.1,4,"3,483",0.1,7
,Portugal,,,,,,46,0.1,22,"1,494",0.39,7
,Uganda,,,,,,47,0.1,7,485,0.3,7
,"Tanzania, United Republic of",,,,,,48,0.1,23,785,0.47,7
,Finland,,,,,,49,0.08,-6,"1,805",0.34,7
,United Arab Emirates,,,,,,51,0.07,12,"5,227",0.32,7
,"Taipei, Chinese",,,,,,52,0.05,8,"8,057",0.08,7
,Slovenia,,,,,,54,0.05,6,511,0.44,7
,Singapore,,,,,,55,0.05,19,921,0.9,7
,Lao People's Democratic Republic,,,,,,56,0.05,-11,"1,932",0.48,7
,Ireland,,,,,,58,0.04,18,559,0.72,7
,Zambia,,,,,,59,0.04,22,"1,372",0.23,7
,Malaysia,,,,,,61,0.03,40,"1,067",0.91,7
,Senegal,,,,,,62,0.03,2,"1,084",0.87,7.1
,"Korea, Republic of",,,,,,63,0.02,4,"8,052",0.12,7
,Indonesia,,,,,,64,0.02,102,"2,575",0.9,7
,Kenya,,,,,,65,0.02,-13,960,0.31,7
,United States Minor Outlying Islands,,,,,,66,0.02,28,,0.96,7.3
,Luxembourg,,,,,,67,0.01,4,298,0.53,7
,Syrian Arab Republic,,,,,,68,0.01,-1,610,0.81,7
,Suriname,,,,,,69,0.01,-4,"7,512",,7.1
,Côte d'Ivoire,,,,,,70,0.01,16,866,0.18,7.1
,"Macedonia, North",,,,,,71,0.01,23,333,0.34,7
,Oman,,,,,,72,0.01,,"1,971",0.96,7
,Sri Lanka,,,,,,73,0,22,"5,912",0.12,7
,"Hong Kong, China",,,,,,74,0,-7,"6,417",0.55,7
,Egypt,,,,,,75,0,33,"1,765",0.21,7
,Lebanon,,,,,,77,0,16,"4,302",0.68,7
,Mozambique,,,,,,79,0,28,"1,184",0.39,7
,Bosnia and Herzegovina,,,,,,81,0,6,337,0.45,7
,Bangladesh,,,,,,82,0,6,"9,689",0.2,7
,Switzerland,,,,,,85,0,-13,534,0.26,5.3
,Philippines,,,,,,86,0,34,"2,515",0.75,7
,New Zealand,,,,,,87,0,-20,"9,388",0.2,7
,Malawi,,,,,,88,0,35,975,0.65,7
,"Iran, Islamic Republic of",,,,,,89,0,16,"6,484",0.2,7
,Dominican Republic,,,,,,90,0,-20,"2,408",0.42,7
,Zimbabwe,,,,,,91,0,-2,662,0.47,7
,Benin,,,,,,92,0,77,"1,284",0.69,7.1
,Ethiopia,,,,,,94,0,42,"7,780",0.22,7
