,Importers,Value imported in 2023 (USD thousand),Trade balance in 2023 (USD thousand),Annual growth in value between 2019-2023 (%),Annual growth in value between 2022-2023 (%),Share in world imports (%),Average distance of supplying countries (km),Concentration of supplying countries,Average tariff (estimated) applied by the country (%)

,World,"23,553,539,132","-262,466,792",8,-6,100,"5,249",0.05,
,United States of America,"3,172,533,052","-1,153,373,387",8,-6,13.5,"7,570",0.07,1.5
,China,"2,559,319,988","829,396,324",7,-6,10.9,"6,752",0.04,8
,Germany,"1,469,735,378","232,627,084",7,-7,6.2,"3,450",0.04,1.2
,United Kingdom,"791,855,405","-272,171,178",5,-3,3.4,"4,332",0.05,0.8
,Japan,"786,365,263","-66,521,186",5,-13,3.3,"6,348",0.08,1.6
,France,"775,128,724","-140,603,775",8,-5,3.3,"3,278",0.06,1.2
,India,"671,997,346","-240,578,858",15,-8,2.9,"5,658",0.06,14.2
,Netherlands,"664,131,324","77,672,711",9,-7,2.8,"3,540",0.07,1.2
,"Hong Kong, China","655,539,567","-79,395,125",4,-2,2.8,"3,195",0.19,0
,"Korea, Republic of","642,571,069","-10,345,324",10,-12,2.7,"5,806",0.08,6.6
,Italy,"639,928,812","37,166,417",11,-8,2.7,"2,867",0.05,1.2
,Mexico,"598,475,395","-5,478,161",11,-1,2.5,"7,090",0.23,4.8
,Canada,"559,231,481","9,181,622",8,-2,2.4,"4,868",0.27,2.5
,Belgium,"550,854,780","17,650,497",10,-12,2.3,"2,613",0.08,1.2
,Spain,"469,043,091","-48,873,500",9,-6,2,"4,113",0.05,1.2
,Singapore,"422,530,066","52,942,532",7,-11,1.8,"6,190",0.07,0
,Switzerland,"366,266,257","54,390,409",8,3,1.6,"3,828",0.06,2.3
,Türkiye,"361,763,873","-106,351,679",17,-1,1.5,"4,139",0.06,5.7
,"Taipei, Chinese","358,675,789","74,279,782",9,-18,1.5,"5,284",0.08,4.9
,Poland,"341,407,274","13,260,182",10,-5,1.4,"3,193",0.07,1.2
,Viet Nam,"335,129,154","118,564,411",7,-8,1.4,"3,492",0.21,6.8
,Thailand,"292,053,342","-11,965,574",8,-5,1.2,"5,019",0.09,7.1
,Australia,"276,027,533","94,841,944",9,-5,1.2,"10,139",0.09,1.4
,United Arab Emirates,"267,360,735","12,556,662",12,10,1.1,"5,838",0.08,4.2
,Malaysia,"265,972,626","46,992,229",10,-10,1.1,"5,195",0.09,4.2
,Brazil,"240,792,839","98,902,927",12,-12,1,"10,912",0.09,11.5
,Czech Republic,"228,913,299","24,414,222",8,-3,1,"3,079",0.09,1.2
,Austria,"223,336,425","-1,151,343",7,-5,0.9,"1,568",0.16,1.2
,Indonesia,"221,739,634","37,057,562",11,-7,0.9,"5,945",0.11,4.8
,Russian Federation,"208,387,278","199,466,023",0,9,0.9,"4,202",0.3,4.4
,Sweden,"193,043,982","4,753,060",7,-5,0.8,"2,158",0.07,1.2
,Saudi Arabia,"157,381,589","147,118,418",10,13,0.7,"6,191",0.1,5.9
,Ireland,"150,611,380","62,258,134",13,1,0.6,"3,527",0.1,1.2
,Hungary,"148,897,654","9,177,833",9,-7,0.6,"2,284",0.08,1.2
,Philippines,"133,758,994","-60,835,708",8,-8,0.6,"4,508",0.09,3.1
,Romania,"131,962,913","-31,320,450",10,-1,0.6,"1,897",0.07,1.2
,Denmark,"126,396,956","9,677,442",8,-1,0.5,"2,094",0.08,1.2
,Slovakia,"115,356,036","1,706,694",8,0,0.5,"2,714",0.06,1.2
,Portugal,"113,486,253","-29,577,335",9,-2,0.5,"2,732",0.14,1.2
,South Africa,"107,264,215","3,398,580",9,-4,0.5,"9,296",0.07,6.4
,Norway,"96,972,068","80,482,567",5,-10,0.4,"3,537",0.06,2.1
,Greece,"88,606,156","-33,554,569",14,-10,0.4,"2,921",0.04,1.2
,Israel,"83,163,005","-23,247,054",6,-23,0.4,"5,479",0.07,1
,Egypt,"83,158,878","-41,107,294",5,-14,0.4,"4,906",0.05,13.5
,Finland,"82,725,390","-283,701",6,-15,0.4,"3,037",0.06,1.2
,Chile,"80,492,407","19,798,042",8,-26,0.3,"10,613",0.11,3.2
,Argentina,"73,713,616","-7,012,950",15,-3,0.3,"9,893",0.12,10.1
,Morocco,"70,671,817","-28,193,941",12,-3,0.3,"4,420",0.07,12.2
,Bangladesh,"64,638,175","-9,457,956",10,-20,0.3,"4,208",0.17,13.2
,Ukraine,"63,561,928","-27,376,389",1,15,0.3,"3,413",0.06,2.6
,Colombia,"62,796,636","-13,253,742",11,-19,0.3,"8,562",0.13,4.8
,Slovenia,"61,689,903","-2,182,948",16,4,0.3,"2,635",0.08,1.2
,Kazakhstan,"61,160,501","17,575,090",13,22,0.3,"3,976",0.16,3.5
,Nigeria,"60,575,070","75,505",6,0,0.3,"7,948",0.08,11
,Bulgaria,"53,528,641","-5,628,084",13,-8,0.2,"2,186",0.05,1.2
,Peru,"52,163,927","12,191,113",10,-14,0.2,"9,842",0.13,1.4
,Pakistan,"50,362,541","-21,412,455",5,-29,0.2,"4,414",0.09,14.3
,Ship stores and bunkers,"50,064,403","-50,027,661",17,-3,0.2,,0.18,...
,New Zealand,"49,958,477","-10,195,059",7,-9,0.2,"10,976",0.09,1.3
,Lithuania,"48,418,283","-5,792,591",12,-12,0.2,"1,948",0.06,1.2
,Iraq,"47,806,336","60,606,462",10,7,0.2,"4,548",0.17,...
,Croatia,"42,552,637","-17,882,206",15,-4,0.2,"1,443",0.07,1.2
,Serbia,"39,644,484","-8,854,198",13,0,0.2,"2,505",0.05,5.1
,Algeria,"39,183,551","17,920,608",2,15,0.2,"5,193",0.1,14.4
,Panama,"34,284,541","-17,546,288",18,17,0.1,"10,620",0.18,5
,Qatar,"31,844,402","68,248,519",3,-4,0.1,"6,050",0.08,4.2
,Dominican Republic,"31,356,398","-19,424,444",12,5,0.1,"6,441",0.2,5.4
,Ecuador,"30,895,681","230,743",13,-7,0.1,"8,657",0.13,8.1
,Guatemala,"30,318,004","-16,123,668",15,-6,0.1,"5,668",0.15,3.2
,Uzbekistan,"28,677,290","-10,565,045",18,29,0.1,"4,019",0.22,12.4
,Tunisia,"25,930,494","-5,890,838",8,-3,0.1,"3,210",0.06,13.3
,Jordan,"25,707,802","-13,118,237",11,-6,0.1,"4,850",0.07,4.1
,"Congo, Democratic Republic of the","25,675,561","2,842,214",42,-4,0.1,"6,836",0.1,10
,Kuwait,"25,387,017","48,784,046",6,3,0.1,"6,107",0.08,4.2
,Luxembourg,"25,214,726","-8,870,873",5,-5,0.1,"1,502",0.13,1.2
,Latvia,"24,978,867","-4,649,374",12,-10,0.1,"1,525",0.09,1.2
,Cambodia,"24,407,102","-631,690",8,-18,0.1,"2,678",0.24,8.6
,Estonia,"23,437,466","-3,329,269",9,-15,0.1,"2,615",0.05,1.2
,"Iran, Islamic Republic of","23,359,266","-11,445,341",0,-13,0.1,"5,364",0.22,18.2
,Costa Rica,"22,515,896","-4,409,722",11,6,0.1,"6,901",0.18,3.1
,"Libya, State of","21,018,899","12,679,007",14,16,0.1,"3,882",0.09,4.1
,Oman,"21,014,602","44,061,162",5,-2,0.1,"5,804",0.1,4.6
,Côte d'Ivoire,"18,834,793","-478,607",18,5,0.1,"6,644",0.06,10.6
,Kenya,"18,705,398","-11,488,667",5,-11,0.1,"6,321",0.08,12.2
,Marshall Islands,"18,198,063","-17,063,382",10,10,0.1,"7,165",0.21,...
,"Macao, China","17,560,701","-16,339,149",12,1,0.1,,0.14,0
,Azerbaijan,"17,285,345","16,613,210",8,19,0.1,"3,671",0.09,6.5
,Belarus,"17,187,770","-10,080,509",5,39,0.1,"3,137",0.18,4.3
,Ethiopia,"17,036,379","-14,178,438",3,3,0.1,"6,145",0.14,12.2
,Myanmar,"16,440,463","-1,687,470",-3,-6,0.1,"2,739",0.18,4.7
,Ghana,"16,394,368","480,294",12,-9,0.1,"7,538",0.07,10.8
,Sri Lanka,"16,386,224","-4,333,726",-2,-5,0.1,"4,596",0.09,9.4
,Paraguay,"16,134,396","-4,265,490",10,2,0.1,"7,131",0.15,6.1
,El Salvador,"15,648,327","-9,150,213",13,-9,0.1,"5,695",0.13,3.2
,Bahrain,"15,354,370","-2,947,442",-4,-1,0.1,"6,125",0.06,4.1
,Bosnia and Herzegovina,"15,348,896","-6,120,710",11,0,0.1,"2,409",0.07,5.1
,Lebanon,"15,192,549","-13,072,935",6,-2,0.1,"3,769",0.07,9.2
,"Tanzania, United Republic of","15,117,482","-7,843,153",18,-3,0.1,"6,926",0.11,11.2
,Honduras,"14,380,540","-7,209,569",12,,0.1,"6,068",0.17,3.5
,Cyprus,"14,000,932","-8,933,802",12,18,0.1,"3,132",0.08,1.2
,Uruguay,"12,486,206","-3,296,332",14,-4,0.1,"8,950",0.11,10.3
,Angola,"12,468,209","25,761,148",13,-7,0.1,"8,786",0.14,8.4
,Kyrgyzstan,"12,350,402","-9,041,528",33,26,0.1,"3,642",0.23,4.5
,"Macedonia, North","12,052,389","-3,057,531",9,-6,0.1,"2,420",0.06,5.1
,Armenia,"12,021,705","-3,650,550",27,39,0.1,"3,915",0.14,4.3
,Senegal,"11,877,493","-6,560,963",13,-2,0.1,"6,683",0.05,11
,Uganda,"11,780,107","-5,475,084",11,21,0.1,"5,431",0.09,10.8
,"Bolivia, Plurinational State of","11,495,579","-584,711",10,-12,0,"8,207",0.1,8.8
,"Venezuela, Bolivarian Republic of","11,299,129","-3,805,632",19,3,0,"7,742",0.17,11.1
,Georgia,"10,982,642","-7,938,892",14,9,0,"2,630",0.09,0.7
,Nicaragua,"10,916,351","-3,537,865",15,-3,0,"5,320",0.11,3.5
,Zambia,"10,226,926","308,749",13,13,0,"5,892",0.11,10.7
,Nepal,"10,111,478","-8,885,795",4,-12,0,"1,780",0.55,17.7
,Mozambique,"10,091,853","-1,815,880",15,-30,0,"6,325",0.1,7.3
,Iceland,"9,481,315","-2,848,481",14,-3,0,"4,288",0.05,2.1
,Mongolia,"9,252,491","5,931,972",14,6,0,"3,261",0.24,4.4
,Zimbabwe,"9,201,594","-1,976,008",19,7,0,"5,183",0.18,14.4
,Trinidad and Tobago,"9,112,531","-1,291,893",10,47,0,"6,906",0.2,12.8
,Albania,"9,003,501","-4,958,948",15,24,0,"2,970",0.1,2.2
,"Moldova, Republic of","8,673,672","-4,625,055",14,-6,0,"2,289",0.07,2.9
,Lao People's Democratic Republic,"8,611,127","593,144",11,13,0,"1,551",0.44,6.3
,Cameroon,"8,602,703","-2,546,719",9,5,0,"8,242",0.21,13.9
,Yemen,"8,569,341","-8,040,669",2,-6,0,"6,509",0.13,6.9
,Malta,"8,390,919","-4,924,343",5,-2,0,"3,215",0.09,1.2
,Gibraltar,"8,269,681","-8,048,946",7,-26,0,"2,302",0.17,9.6
,Jamaica,"7,592,061","-6,070,193",9,-2,0,"5,751",0.18,7.5
,Brunei Darussalam,"7,484,472","3,756,153",14,-19,0,"4,702",0.11,0.6
,Namibia,"7,239,130","-1,751,100",1,-9,0,"5,945",0.15,6.1
,Cayman Islands,"6,859,521","-4,900,496",11,48,0,"7,723",0.25,20
,Guinea,"6,522,913","2,450,584",12,8,0,"8,801",0.19,11
,Botswana,"6,417,468","-914,751",2,-21,0,"2,782",0.43,6
,Mali,"6,382,254","-4,572,977",13,4,0,"3,789",0.12,11
,Mauritius,"6,281,534","-4,427,295",7,-5,0,"7,299",0.06,0.6
,Burkina Faso,"5,898,409","-1,429,151",10,5,0,"5,624",0.07,11
,Tajikistan,"5,704,363","-4,411,223",17,10,0,"3,240",0.16,5.5
,Papua New Guinea,"5,595,361","7,972,422",10,0,0,"5,000",0.17,2.8
,Djibouti,"5,294,944","-510,228",,4,0,"4,819",0.09,19.8
,Guyana,"5,230,066","5,581,690",10,-39,0,"6,520",0.13,11.1
,Sudan,"5,137,317","-1,961,090",-3,-34,0,,0.16,...
,Congo,"4,898,471","3,728,011",18,36,0,"7,324",0.13,10.4
,Mauritania,"4,815,777","-745,163",13,-6,0,"6,318",0.08,11.7
,Madagascar,"4,809,848","-1,582,432",10,-12,0,"7,200",0.08,8.4
,Free Zones,"4,803,059","91,330",25,22,0,,0.3,...
